index,qid,docid,docno,query,label
1028,q2,5038,5388,easy coffee maker pot,1
1007,q2,5045,5395,easy coffee maker pot,3
1001,q2,5197,5547,easy coffee maker pot,4
1039,q2,5203,5553,easy coffee maker pot,4
1003,q2,5237,5587,easy coffee maker pot,4
1040,q2,6166,6531,easy coffee maker pot,4
1035,q2,6175,6540,easy coffee maker pot,4
1041,q2,6419,6808,easy coffee maker pot,3
1018,q2,6440,6849,easy coffee maker pot,3
1023,q2,6441,6850,easy coffee maker pot,2
1038,q2,6487,6896,easy coffee maker pot,3
1047,q2,6688,7097,easy coffee maker pot,1
1000,q2,7164,7584,easy coffee maker pot,4
1016,q2,7169,7589,easy coffee maker pot,4
1017,q2,7178,7598,easy coffee maker pot,4
1003,q2,7179,7599,easy coffee maker pot,4
1015,q2,7220,7640,easy coffee maker pot,5
1048,q2,7303,7723,easy coffee maker pot,4
1012,q2,7305,7725,easy coffee maker pot,4
1020,q2,7310,7730,easy coffee maker pot,4
1007,q2,7313,7733,easy coffee maker pot,4
1041,q2,7318,7738,easy coffee maker pot,4
1015,q2,7329,7749,easy coffee maker pot,4
1026,q2,7950,8438,easy coffee maker pot,4
1036,q2,7951,8439,easy coffee maker pot,4
1008,q2,8275,8776,easy coffee maker pot,1
1029,q2,8569,9092,easy coffee maker pot,4
1049,q2,8570,9093,easy coffee maker pot,4
1002,q2,8571,9094,easy coffee maker pot,4
1007,q2,8572,9095,easy coffee maker pot,4
1040,q2,8573,9096,easy coffee maker pot,4
1042,q2,8574,9097,easy coffee maker pot,4
1028,q2,8575,9098,easy coffee maker pot,4
1035,q2,8576,9099,easy coffee maker pot,4
1042,q2,8577,9100,easy coffee maker pot,5
1046,q2,9672,10209,easy coffee maker pot,1
1036,q2,9798,10442,easy coffee maker pot,1
1048,q2,9821,10465,easy coffee maker pot,4
1038,q2,9831,10475,easy coffee maker pot,4
1040,q2,9855,10499,easy coffee maker pot,4
1034,q2,9859,10503,easy coffee maker pot,4
1013,q2,9914,10558,easy coffee maker pot,4
1041,q2,9928,10572,easy coffee maker pot,5
1039,q2,9932,10576,easy coffee maker pot,4
1006,q2,10732,11438,easy coffee maker pot,4
1038,q2,10733,11439,easy coffee maker pot,4
1022,q2,10734,11440,easy coffee maker pot,4
1046,q2,11095,11848,easy coffee maker pot,4
1026,q2,11099,11852,easy coffee maker pot,4
1033,q2,11117,11870,easy coffee maker pot,4
1011,q2,11567,12340,easy coffee maker pot,1
1019,q2,11794,12567,easy coffee maker pot,1
1046,q2,11868,12641,easy coffee maker pot,1
1029,q2,11886,12659,easy coffee maker pot,1
1004,q2,12088,12914,easy coffee maker pot,4
1030,q2,12909,13822,easy coffee maker pot,4
1041,q2,12910,13824,easy coffee maker pot,3
1045,q2,12915,13829,easy coffee maker pot,4
1000,q2,12919,13833,easy coffee maker pot,3
1010,q2,12924,13838,easy coffee maker pot,4
1009,q2,12925,13839,easy coffee maker pot,4
1044,q2,12926,13840,easy coffee maker pot,4
1001,q2,12931,13845,easy coffee maker pot,3
1011,q2,13255,14193,easy coffee maker pot,4
1033,q2,13620,14597,easy coffee maker pot,4
1037,q2,13625,14602,easy coffee maker pot,4
1048,q2,13630,14607,easy coffee maker pot,4
1048,q2,14569,15643,easy coffee maker pot,4
1010,q2,14573,15647,easy coffee maker pot,4
1047,q2,14575,15649,easy coffee maker pot,4
1005,q2,14587,15661,easy coffee maker pot,4
1012,q2,14590,15664,easy coffee maker pot,4
1025,q2,14591,15665,easy coffee maker pot,4
1049,q2,14596,15670,easy coffee maker pot,4
1037,q2,14601,15675,easy coffee maker pot,4
1005,q2,14906,16111,easy coffee maker pot,4
1016,q2,14916,16121,easy coffee maker pot,4
1023,q2,14921,16126,easy coffee maker pot,4
1039,q2,15566,16795,easy coffee maker pot,4
1020,q2,15867,17096,easy coffee maker pot,1
1026,q2,16111,17360,easy coffee maker pot,5
1044,q2,16140,17389,easy coffee maker pot,5
1031,q2,16144,17393,easy coffee maker pot,5
1034,q2,16149,17398,easy coffee maker pot,5
1008,q2,16150,17399,easy coffee maker pot,5
1044,q2,16185,17434,easy coffee maker pot,5
1022,q2,17177,18505,easy coffee maker pot,1
1017,q2,17630,19103,easy coffee maker pot,4
1047,q2,17634,19107,easy coffee maker pot,4
1029,q2,17636,19109,easy coffee maker pot,4
1027,q2,17637,19110,easy coffee maker pot,4
1009,q2,18405,19995,easy coffee maker pot,4
1037,q2,18407,19997,easy coffee maker pot,4
1035,q2,18410,20000,easy coffee maker pot,4
1045,q2,18412,20002,easy coffee maker pot,4
1043,q2,18422,20012,easy coffee maker pot,4
1018,q2,18424,20014,easy coffee maker pot,4
1049,q2,18643,20233,easy coffee maker pot,3
1006,q2,18644,20234,easy coffee maker pot,3
1030,q2,18650,20240,easy coffee maker pot,3
1027,q2,18654,20244,easy coffee maker pot,3
1043,q2,18656,20246,easy coffee maker pot,3
1018,q2,18828,20418,easy coffee maker pot,2
1036,q2,18837,20427,easy coffee maker pot,3
1014,q2,18839,20429,easy coffee maker pot,3
1045,q2,18878,20468,easy coffee maker pot,1
1021,q2,19116,20764,easy coffee maker pot,1
1004,q2,19792,21594,easy coffee maker pot,3
1019,q2,19802,21604,easy coffee maker pot,4
1031,q2,20607,22529,easy coffee maker pot,4
1024,q2,21337,23359,easy coffee maker pot,1
1021,q2,22954,25292,easy coffee maker pot,5
1028,q2,22987,25325,easy coffee maker pot,5
2035,q3,32,33,pot cooker rice potatoes vegetables meat quick,5
2039,q3,39,40,pot cooker rice potatoes vegetables meat quick,5
2049,q3,794,816,pot cooker rice potatoes vegetables meat quick,1
2008,q3,1015,1037,pot cooker rice potatoes vegetables meat quick,1
2025,q3,1820,1860,pot cooker rice potatoes vegetables meat quick,4
2021,q3,2895,3026,pot cooker rice potatoes vegetables meat quick,2
2047,q3,3048,3200,pot cooker rice potatoes vegetables meat quick,5
2030,q3,3644,3837,pot cooker rice potatoes vegetables meat quick,3
2048,q3,3645,3838,pot cooker rice potatoes vegetables meat quick,3
2039,q3,3646,3839,pot cooker rice potatoes vegetables meat quick,3
2020,q3,3647,3840,pot cooker rice potatoes vegetables meat quick,3
2037,q3,3649,3842,pot cooker rice potatoes vegetables meat quick,3
2036,q3,3650,3843,pot cooker rice potatoes vegetables meat quick,4
2016,q3,3652,3845,pot cooker rice potatoes vegetables meat quick,4
2049,q3,3653,3846,pot cooker rice potatoes vegetables meat quick,4
2036,q3,3956,4159,pot cooker rice potatoes vegetables meat quick,2
2018,q3,4242,4490,pot cooker rice potatoes vegetables meat quick,5
2039,q3,4829,5164,pot cooker rice potatoes vegetables meat quick,2
2015,q3,4835,5170,pot cooker rice potatoes vegetables meat quick,2
2014,q3,4975,5325,pot cooker rice potatoes vegetables meat quick,4
2012,q3,4976,5326,pot cooker rice potatoes vegetables meat quick,5
2036,q3,4978,5328,pot cooker rice potatoes vegetables meat quick,5
2011,q3,4979,5329,pot cooker rice potatoes vegetables meat quick,5
2017,q3,4981,5331,pot cooker rice potatoes vegetables meat quick,5
2044,q3,4983,5333,pot cooker rice potatoes vegetables meat quick,5
2008,q3,4986,5336,pot cooker rice potatoes vegetables meat quick,5
2019,q3,4988,5338,pot cooker rice potatoes vegetables meat quick,5
2005,q3,4992,5342,pot cooker rice potatoes vegetables meat quick,5
2009,q3,4993,5343,pot cooker rice potatoes vegetables meat quick,5
2022,q3,4994,5344,pot cooker rice potatoes vegetables meat quick,5
2032,q3,4996,5346,pot cooker rice potatoes vegetables meat quick,5
2033,q3,4998,5348,pot cooker rice potatoes vegetables meat quick,5
2027,q3,4999,5349,pot cooker rice potatoes vegetables meat quick,5
2004,q3,5000,5350,pot cooker rice potatoes vegetables meat quick,5
2042,q3,5045,5395,pot cooker rice potatoes vegetables meat quick,1
2046,q3,5796,6161,pot cooker rice potatoes vegetables meat quick,5
2034,q3,5797,6162,pot cooker rice potatoes vegetables meat quick,5
2003,q3,5799,6164,pot cooker rice potatoes vegetables meat quick,5
2026,q3,5800,6165,pot cooker rice potatoes vegetables meat quick,5
2034,q3,5808,6173,pot cooker rice potatoes vegetables meat quick,5
2026,q3,6252,6617,pot cooker rice potatoes vegetables meat quick,1
2033,q3,6487,6896,pot cooker rice potatoes vegetables meat quick,3
2040,q3,6681,7090,pot cooker rice potatoes vegetables meat quick,3
2007,q3,6688,7097,pot cooker rice potatoes vegetables meat quick,3
2028,q3,6698,7107,pot cooker rice potatoes vegetables meat quick,4
2048,q3,6777,7186,pot cooker rice potatoes vegetables meat quick,2
2035,q3,7079,7499,pot cooker rice potatoes vegetables meat quick,1
2020,q3,7179,7599,pot cooker rice potatoes vegetables meat quick,1
2044,q3,8275,8776,pot cooker rice potatoes vegetables meat quick,1
2041,q3,8289,8801,pot cooker rice potatoes vegetables meat quick,5
2037,q3,8290,8802,pot cooker rice potatoes vegetables meat quick,5
2001,q3,8293,8805,pot cooker rice potatoes vegetables meat quick,5
2038,q3,8294,8806,pot cooker rice potatoes vegetables meat quick,5
2047,q3,8295,8807,pot cooker rice potatoes vegetables meat quick,4
2038,q3,8345,8857,pot cooker rice potatoes vegetables meat quick,1
2043,q3,8400,8923,pot cooker rice potatoes vegetables meat quick,1
2028,q3,8417,8940,pot cooker rice potatoes vegetables meat quick,1
2002,q3,8419,8942,pot cooker rice potatoes vegetables meat quick,1
2029,q3,8422,8945,pot cooker rice potatoes vegetables meat quick,1
2043,q3,9527,10064,pot cooker rice potatoes vegetables meat quick,4
2031,q3,9529,10066,pot cooker rice potatoes vegetables meat quick,5
2024,q3,9530,10067,pot cooker rice potatoes vegetables meat quick,4
2049,q3,9531,10068,pot cooker rice potatoes vegetables meat quick,4
2018,q3,9533,10070,pot cooker rice potatoes vegetables meat quick,4
2035,q3,9534,10071,pot cooker rice potatoes vegetables meat quick,4
2006,q3,9535,10072,pot cooker rice potatoes vegetables meat quick,4
2002,q3,9537,10074,pot cooker rice potatoes vegetables meat quick,4
2049,q3,9616,10153,pot cooker rice potatoes vegetables meat quick,1
2042,q3,10472,11160,pot cooker rice potatoes vegetables meat quick,1
2022,q3,10732,11438,pot cooker rice potatoes vegetables meat quick,1
2030,q3,11790,12563,pot cooker rice potatoes vegetables meat quick,1
2021,q3,11794,12567,pot cooker rice potatoes vegetables meat quick,1
2049,q3,12201,13027,pot cooker rice potatoes vegetables meat quick,1
2011,q3,12202,13028,pot cooker rice potatoes vegetables meat quick,1
2025,q3,12203,13029,pot cooker rice potatoes vegetables meat quick,4
2007,q3,12210,13036,pot cooker rice potatoes vegetables meat quick,5
2013,q3,12211,13037,pot cooker rice potatoes vegetables meat quick,5
2045,q3,12212,13038,pot cooker rice potatoes vegetables meat quick,5
2031,q3,12213,13039,pot cooker rice potatoes vegetables meat quick,5
2046,q3,12215,13041,pot cooker rice potatoes vegetables meat quick,5
2029,q3,12216,13042,pot cooker rice potatoes vegetables meat quick,5
2044,q3,12217,13043,pot cooker rice potatoes vegetables meat quick,5
2024,q3,12333,13203,pot cooker rice potatoes vegetables meat quick,1
2041,q3,12339,13209,pot cooker rice potatoes vegetables meat quick,1
2041,q3,12348,13218,pot cooker rice potatoes vegetables meat quick,1
2048,q3,12352,13222,pot cooker rice potatoes vegetables meat quick,1
2045,q3,12589,13484,pot cooker rice potatoes vegetables meat quick,1
2014,q3,12919,13833,pot cooker rice potatoes vegetables meat quick,1
2015,q3,12931,13845,pot cooker rice potatoes vegetables meat quick,1
2032,q3,12935,13849,pot cooker rice potatoes vegetables meat quick,1
2027,q3,13728,14757,pot cooker rice potatoes vegetables meat quick,1
2000,q3,14411,15485,pot cooker rice potatoes vegetables meat quick,1
2046,q3,14444,15518,pot cooker rice potatoes vegetables meat quick,1
2047,q3,15214,16419,pot cooker rice potatoes vegetables meat quick,1
2048,q3,15578,16807,pot cooker rice potatoes vegetables meat quick,5
2043,q3,17074,18402,pot cooker rice potatoes vegetables meat quick,5
2034,q3,17077,18405,pot cooker rice potatoes vegetables meat quick,5
2000,q3,17079,18407,pot cooker rice potatoes vegetables meat quick,5
2042,q3,17085,18413,pot cooker rice potatoes vegetables meat quick,5
2034,q3,17091,18419,pot cooker rice potatoes vegetables meat quick,5
2004,q3,17608,19070,pot cooker rice potatoes vegetables meat quick,1
2017,q3,17682,19155,pot cooker rice potatoes vegetables meat quick,5
2044,q3,18382,19972,pot cooker rice potatoes vegetables meat quick,4
2010,q3,18396,19986,pot cooker rice potatoes vegetables meat quick,5
2016,q3,19016,20606,pot cooker rice potatoes vegetables meat quick,1
2023,q3,19116,20764,pot cooker rice potatoes vegetables meat quick,1
2036,q3,20214,22109,pot cooker rice potatoes vegetables meat quick,5
2041,q3,20217,22112,pot cooker rice potatoes vegetables meat quick,4
2015,q3,20430,22338,pot cooker rice potatoes vegetables meat quick,1
2042,q3,21519,23541,pot cooker rice potatoes vegetables meat quick,5
2023,q3,21526,23548,pot cooker rice potatoes vegetables meat quick,5
2032,q3,22737,24923,pot cooker rice potatoes vegetables meat quick,5
3049,q4,1,1,ice cream scoop spoon comfort smooth,3
3041,q4,5,5,ice cream scoop spoon comfort smooth,3
3004,q4,7,7,ice cream scoop spoon comfort smooth,3
3012,q4,41,42,ice cream scoop spoon comfort smooth,5
3016,q4,42,43,ice cream scoop spoon comfort smooth,5
3032,q4,43,44,ice cream scoop spoon comfort smooth,5
3029,q4,44,45,ice cream scoop spoon comfort smooth,5
3006,q4,45,46,ice cream scoop spoon comfort smooth,5
3046,q4,46,47,ice cream scoop spoon comfort smooth,5
3025,q4,47,48,ice cream scoop spoon comfort smooth,5
3048,q4,49,50,ice cream scoop spoon comfort smooth,5
3004,q4,51,52,ice cream scoop spoon comfort smooth,5
3011,q4,52,53,ice cream scoop spoon comfort smooth,5
3031,q4,53,54,ice cream scoop spoon comfort smooth,5
3001,q4,54,55,ice cream scoop spoon comfort smooth,5
3008,q4,56,57,ice cream scoop spoon comfort smooth,5
3010,q4,57,58,ice cream scoop spoon comfort smooth,5
3003,q4,58,59,ice cream scoop spoon comfort smooth,5
3039,q4,455,457,ice cream scoop spoon comfort smooth,1
3039,q4,751,763,ice cream scoop spoon comfort smooth,2
3049,q4,756,768,ice cream scoop spoon comfort smooth,2
3003,q4,1015,1037,ice cream scoop spoon comfort smooth,1
3035,q4,1018,1040,ice cream scoop spoon comfort smooth,3
3009,q4,1303,1341,ice cream scoop spoon comfort smooth,5
3014,q4,1304,1342,ice cream scoop spoon comfort smooth,4
3037,q4,1305,1343,ice cream scoop spoon comfort smooth,5
3002,q4,1306,1344,ice cream scoop spoon comfort smooth,5
3022,q4,1309,1347,ice cream scoop spoon comfort smooth,5
3028,q4,1311,1349,ice cream scoop spoon comfort smooth,5
3007,q4,1312,1350,ice cream scoop spoon comfort smooth,5
3026,q4,1313,1351,ice cream scoop spoon comfort smooth,5
3043,q4,1395,1434,ice cream scoop spoon comfort smooth,2
3015,q4,1411,1450,ice cream scoop spoon comfort smooth,2
3035,q4,1613,1652,ice cream scoop spoon comfort smooth,3
3046,q4,1617,1656,ice cream scoop spoon comfort smooth,3
3049,q4,1627,1667,ice cream scoop spoon comfort smooth,3
3045,q4,1759,1799,ice cream scoop spoon comfort smooth,4
3038,q4,2523,2617,ice cream scoop spoon comfort smooth,2
3049,q4,3069,3221,ice cream scoop spoon comfort smooth,1
3034,q4,3760,3953,ice cream scoop spoon comfort smooth,2
3014,q4,3935,4138,ice cream scoop spoon comfort smooth,1
3009,q4,3998,4246,ice cream scoop spoon comfort smooth,1
3044,q4,5028,5378,ice cream scoop spoon comfort smooth,3
3040,q4,5032,5382,ice cream scoop spoon comfort smooth,3
3042,q4,5034,5384,ice cream scoop spoon comfort smooth,3
3010,q4,5038,5388,ice cream scoop spoon comfort smooth,3
3012,q4,5190,5540,ice cream scoop spoon comfort smooth,1
3007,q4,5343,5693,ice cream scoop spoon comfort smooth,1
3045,q4,5540,5890,ice cream scoop spoon comfort smooth,1
3031,q4,6047,6412,ice cream scoop spoon comfort smooth,1
3036,q4,6487,6896,ice cream scoop spoon comfort smooth,1
3029,q4,7011,7420,ice cream scoop spoon comfort smooth,1
3039,q4,7102,7522,ice cream scoop spoon comfort smooth,1
3006,q4,7179,7599,ice cream scoop spoon comfort smooth,1
3037,q4,8058,8559,ice cream scoop spoon comfort smooth,1
3021,q4,8293,8805,ice cream scoop spoon comfort smooth,1
3049,q4,8328,8840,ice cream scoop spoon comfort smooth,3
3018,q4,8334,8846,ice cream scoop spoon comfort smooth,1
3047,q4,8345,8857,ice cream scoop spoon comfort smooth,1
3015,q4,8419,8942,ice cream scoop spoon comfort smooth,1
3026,q4,8569,9092,ice cream scoop spoon comfort smooth,1
3041,q4,8573,9096,ice cream scoop spoon comfort smooth,1
3025,q4,8597,9120,ice cream scoop spoon comfort smooth,1
3028,q4,8671,9194,ice cream scoop spoon comfort smooth,1
3027,q4,9572,10109,ice cream scoop spoon comfort smooth,1
3036,q4,10162,10817,ice cream scoop spoon comfort smooth,3
3008,q4,11567,12340,ice cream scoop spoon comfort smooth,1
3013,q4,11767,12540,ice cream scoop spoon comfort smooth,4
3019,q4,11773,12546,ice cream scoop spoon comfort smooth,1
3042,q4,11941,12714,ice cream scoop spoon comfort smooth,1
3044,q4,12096,12922,ice cream scoop spoon comfort smooth,1
3000,q4,12919,13833,ice cream scoop spoon comfort smooth,1
3043,q4,12926,13840,ice cream scoop spoon comfort smooth,1
3001,q4,12931,13845,ice cream scoop spoon comfort smooth,1
3033,q4,13645,14639,ice cream scoop spoon comfort smooth,1
3038,q4,14224,15277,ice cream scoop spoon comfort smooth,1
3002,q4,14411,15485,ice cream scoop spoon comfort smooth,1
3047,q4,14545,15619,ice cream scoop spoon comfort smooth,3
3047,q4,14553,15627,ice cream scoop spoon comfort smooth,3
3000,q4,14877,16082,ice cream scoop spoon comfort smooth,5
3018,q4,14878,16083,ice cream scoop spoon comfort smooth,4
3034,q4,14879,16084,ice cream scoop spoon comfort smooth,5
3005,q4,14880,16085,ice cream scoop spoon comfort smooth,5
3019,q4,14881,16086,ice cream scoop spoon comfort smooth,5
3017,q4,14882,16087,ice cream scoop spoon comfort smooth,5
3020,q4,14883,16088,ice cream scoop spoon comfort smooth,5
3027,q4,14884,16089,ice cream scoop spoon comfort smooth,5
3021,q4,14885,16090,ice cream scoop spoon comfort smooth,5
3013,q4,14886,16091,ice cream scoop spoon comfort smooth,5
3033,q4,14889,16094,ice cream scoop spoon comfort smooth,5
3043,q4,14890,16095,ice cream scoop spoon comfort smooth,5
3023,q4,14891,16096,ice cream scoop spoon comfort smooth,5
3030,q4,14892,16097,ice cream scoop spoon comfort smooth,5
3024,q4,14893,16098,ice cream scoop spoon comfort smooth,5
3030,q4,14906,16111,ice cream scoop spoon comfort smooth,1
3024,q4,15561,16790,ice cream scoop spoon comfort smooth,1
3023,q4,15818,17047,ice cream scoop spoon comfort smooth,1
3032,q4,17257,18585,ice cream scoop spoon comfort smooth,1
3017,q4,18087,19660,ice cream scoop spoon comfort smooth,1
3036,q4,18091,19664,ice cream scoop spoon comfort smooth,1
3016,q4,18336,19910,ice cream scoop spoon comfort smooth,1
3022,q4,18869,20459,ice cream scoop spoon comfort smooth,2
3048,q4,18875,20465,ice cream scoop spoon comfort smooth,1
3020,q4,19628,21420,ice cream scoop spoon comfort smooth,1
3011,q4,20188,22083,ice cream scoop spoon comfort smooth,1
3040,q4,23016,25354,ice cream scoop spoon comfort smooth,1
4021,q5,7,7,"potato mash for hash browns smooth, fluffy",1
4049,q5,59,60,"potato mash for hash browns smooth, fluffy",5
4040,q5,60,61,"potato mash for hash browns smooth, fluffy",5
4014,q5,64,65,"potato mash for hash browns smooth, fluffy",5
4020,q5,66,67,"potato mash for hash browns smooth, fluffy",5
4026,q5,67,68,"potato mash for hash browns smooth, fluffy",5
4022,q5,69,70,"potato mash for hash browns smooth, fluffy",5
4003,q5,70,71,"potato mash for hash browns smooth, fluffy",5
4029,q5,71,72,"potato mash for hash browns smooth, fluffy",5
4015,q5,757,769,"potato mash for hash browns smooth, fluffy",2
4021,q5,791,813,"potato mash for hash browns smooth, fluffy",2
4004,q5,1015,1037,"potato mash for hash browns smooth, fluffy",1
4008,q5,1103,1141,"potato mash for hash browns smooth, fluffy",3
4044,q5,1134,1172,"potato mash for hash browns smooth, fluffy",2
4006,q5,1230,1268,"potato mash for hash browns smooth, fluffy",1
4038,q5,1341,1379,"potato mash for hash browns smooth, fluffy",1
4042,q5,1921,1961,"potato mash for hash browns smooth, fluffy",3
4034,q5,2174,2228,"potato mash for hash browns smooth, fluffy",3
4037,q5,2176,2230,"potato mash for hash browns smooth, fluffy",3
4035,q5,2254,2308,"potato mash for hash browns smooth, fluffy",3
4045,q5,2266,2320,"potato mash for hash browns smooth, fluffy",3
